arm,seed,description,teacher_mse_train_final,teacher_mse,free_run_rmse,jx_err_mean,jx_err_max,ju_err_mean,ju_err_max,equilibrium_drift,homogeneity_flatness,jx_far_from_origin,jx_at_origin,jx_origin_spike_ratio,directional_asymmetry_at_smallest_eps,directional_asymmetry_at_largest_eps,sigma_jx_err_correlation
arm_1,2,"linear branch, no LN, no memory - exactly linear",2.2277622739925806e-21,2.2277506345300756e-21,6.711638436215746e-11,1.2252421299763228e-12,1.2252421299763228e-12,1.1004530620084552e-12,1.1004530620084552e-12,-4.8842901945178596e-11,6.3155641687346535e-12,3.0000000000036757,3.0000000000036757,1.0,0.0,0.0,
arm_1,3,"linear branch, no LN, no memory - exactly linear",1.7636252721064074e-17,1.763625730217635e-17,5.971837704895978e-09,6.089972970357849e-11,6.089972970357849e-11,3.1450397841581434e-11,3.1450397841581434e-11,4.337598585868463e-09,6.091055903620266e-12,2.999999999817301,2.999999999817301,1.0,0.0,0.0,
arm_1,4,"linear branch, no LN, no memory - exactly linear",3.413519408118794e-21,3.413534739948853e-21,8.308797673173573e-11,1.404210081545898e-12,1.404210081545898e-12,1.2140288774276087e-12,1.2140288774276087e-12,6.045573069934917e-11,2.5630502518621413e-12,2.9999999999957874,2.9999999999957874,1.0,0.0,0.0,
arm_1,5,"linear branch, no LN, no memory - exactly linear",1.4655595593048205e-18,1.4655594097244856e-18,1.7210682682906617e-09,1.6423455188411633e-11,1.6423455188411633e-11,6.679545805354792e-12,6.679545805354792e-12,1.2499204588012347e-09,2.480553116330084e-12,2.9999999999507296,2.9999999999507296,1.0,0.0,0.0,
arm_1,6,"linear branch, no LN, no memory - exactly linear",2.305032977838431e-20,2.3050442654060407e-20,2.0804991519095834e-10,2.3897920679398043e-12,2.3897920679398035e-12,9.10937991704941e-12,9.10937991704941e-12,1.3142274074562366e-10,2.2897590983761815e-12,3.0000000000071694,3.0000000000071694,1.0,0.0,0.0,
arm_1,7,"linear branch, no LN, no memory - exactly linear",2.0716796359517614e-19,2.0716812941131327e-19,6.472996052867809e-10,1.0156764318480782e-11,1.0156764318480782e-11,8.276046514765767e-12,8.276046514765767e-12,4.709136483538323e-10,1.9107789306915005e-12,2.9999999999695297,2.9999999999695297,1.0,0.0,0.0,
arm_2,0,"linear + LayerNorm, no memory - KEY ARM",3.825815280264932e-18,3.825815468516015e-18,2.4413991333460096e-09,1.2598890079355366e-10,2.8191730431596323e-10,1.421757045427796e-10,1.9796448924580545e-09,1.7065866431825727e-08,7.373747831422738e-08,3.000000000246646,3.0000000410074623,1.000000013586939,5.706546346573305e-14,8.443584276207616e-09,-0.35232528238150485
arm_2,1,"linear + LayerNorm, no memory - KEY ARM",2.210576377222614e-16,2.210576269173307e-16,2.04954807069757e-08,8.406475530501704e-10,5.613224847896466e-09,6.143261299662584e-10,7.964858994569113e-09,5.8146706130579595e-08,7.766806374404e-09,3.0000000025072913,3.00000001130569,1.0000000029327996,6.472600233564663e-14,6.453271028661334e-09,-0.18892886969494305
arm_2,2,"linear + LayerNorm, no memory - KEY ARM",8.889026153438564e-19,8.889024527375931e-19,9.7771385442098e-10,8.19956325059934e-11,1.2905276847163805e-10,1.8567806625569006e-10,6.85458023674812e-10,1.7597766438504081e-09,2.2915398588731603e-09,3.0000000004356586,2.9999999971122255,0.9999999988921889,9.2148511043888e-15,8.549351226960766e-10,0.7634094006474607
arm_2,3,"linear + LayerNorm, no memory - KEY ARM",4.5472120310340906e-15,4.54721201020211e-15,8.741197056346019e-08,8.499419434926381e-09,3.162910762929035e-08,4.872776107056609e-09,1.0060541955070335e-07,1.0026497205967155e-06,2.227801651505205e-06,3.0000000261490642,3.000002818861813,1.0000009309042415,3.990696662015125e-12,6.435720225628216e-07,-0.0610780847014271
