case,cost_ratio,finite,hankel_eff_rank,hankel_sigma6_over_sigma1,internal_dim,ks_over_kx,median_frac_s_unstable,n_unstable_099,n_unstable_10,seed,success,teacher_mse,variant
2,33372.26404899155,True,47,0.02784987137212138,256,163.00116924596338,0.4480451233005541,118,5,4,False,1.2686896217084324e-05,S4_d256
3,45.06394806432167,True,52,0.10770318969749473,256,151.1707120271671,0.5768924420969157,113,19,0,True,1.9107750445168223e-06,S4_d256
3,24845.978953621026,True,44,0.031607351206053756,256,71.48794261694076,0.36410811280348454,120,11,1,False,1.0575268296577566e-05,S4_d256
3,998.1544189178207,True,25,0.00010130310200628484,256,42.3426939933553,0.37800956431695637,132,10,2,False,3.772527855919629e-06,S4_d256
3,13037.113529158343,True,55,0.03943577167360104,256,51.860645126578476,0.5545278998851549,85,11,3,False,6.174088825350827e-06,S4_d256
3,628949351598722.2,True,56,0.003721883817820132,256,27.489054442519983,0.5792167766237277,61,8,4,False,3.2948934750968533e-06,S4_d256
4,1811775.3526595999,True,37,0.009637212730949854,256,23.54830078937839,0.4461102556763006,147,10,0,False,3.4396303417445995e-05,S4_d256
4,87227628.7424727,True,42,0.027523106497650596,256,14.583945363621375,0.3060007999215895,80,16,1,False,4.5593257497703114e-05,S4_d256
4,80100859.6800983,True,42,0.003187736930375103,256,26.93991038811131,0.33895889474994484,93,9,2,False,5.1418396529132434e-05,S4_d256
4,287176710.8401508,True,55,0.03551201454847323,256,25.72426987361824,0.4271690613617723,85,8,3,False,1.015391529674926e-05,S4_d256
4,113277.8504051326,True,49,0.05607372482438987,256,161.24329686441598,0.36772300172478245,107,9,4,False,3.418348061247346e-05,S4_d256
5,48165.97365204236,True,57,0.04132714838649007,256,82.17228402107669,0.5581420362846565,55,8,0,False,2.325276806046774e-05,S4_d256
5,11899026445.091125,True,56,0.09677962701639412,256,142.21522604851833,0.23031502701508122,86,2,1,False,2.892808968975949e-05,S4_d256
5,10818823.011823177,True,37,0.08385038733983417,256,127.52461014820457,0.52311179064437,121,5,2,False,4.233685871245743e-05,S4_d256
5,697407.4524275075,True,59,0.14049084920658086,256,21.50382456093866,0.5347951181625151,23,5,3,False,1.8976643305871063e-05,S4_d256
5,3532.859130514885,True,51,0.008829793397664855,256,37.28545585411922,0.3998155232351958,109,8,4,False,1.161114659850195e-05,S4_d256
7,17.21142156588897,True,55,0.08679655348277641,256,34.85708229628571,0.5079389479765155,86,5,0,True,3.022872760572363e-06,S4_d256
7,778.9638619322524,True,50,0.029803814362446245,256,32.715589056834226,0.48862452085189007,100,6,1,False,2.6393746065614944e-06,S4_d256
7,978.3295764366362,True,41,4.345248846542729e-05,256,5.505566422775031,0.4729315006410676,86,4,2,False,1.0021817486934123e-06,S4_d256
7,1497.1666557664055,True,54,0.02700142440028385,256,149.76532727243128,0.48826455232955485,85,4,3,False,2.306719733745641e-06,S4_d256
7,124.8523652750962,True,47,0.005194481043247662,256,52.570494738514085,0.5590003811074933,85,8,4,False,7.63347005184831e-07,S4_d256
1,11.999350812688094,True,31,0.009103196298331256,64,14.855867546938711,0.5256850282739979,26,5,0,True,0.0038756284247138456,S4_d64
1,3.0419221402873577,True,27,0.017704120874761416,64,20.227900960344364,0.6220817428154913,26,3,1,True,0.0038743599223455103,S4_d64
1,5.552688278294192,True,22,0.016108190463723075,64,16.657752451914057,0.38997480556124764,24,4,2,True,0.003878106131367736,S4_d64
1,54.74504477584141,True,19,0.013019119611359244,64,128.157876483398,0.11295014733121837,42,8,3,True,0.003894335001521546,S4_d64
1,16.343419159727716,True,20,0.008303188654848095,64,202.74739618010844,0.2507318058158173,27,4,4,True,0.0038748564007994144,S4_d64
2,25.52143114466705,True,15,0.004037972725830484,64,56.114009212262296,0.026868986101591094,45,4,0,True,0.0015164840344177519,S4_d64
2,471.79282774738994,True,20,0.004229100762674762,64,55.56527809899549,0.09825998015382703,35,6,1,False,0.00020188689947772562,S4_d64
2,7.446428284726439,True,25,0.012208728694917447,64,14.646495089499158,0.37120274780911355,27,9,2,True,0.00019783619556535526,S4_d64
2,53.934413932075984,True,18,0.0009105093506204347,64,123.23996851834858,0.12265854853379622,35,4,3,True,0.0002168518382724144,S4_d64
2,309632.7503503112,True,20,0.009702504133249187,64,61.71944502862249,0.1265490148055549,46,2,4,False,0.0012781965695809,S4_d64
3,1299.9226487349308,True,27,0.028231571246023938,64,61.89252884909363,0.7938442637826073,30,8,0,False,0.006588551787908147,S4_d64
