agrees,b,case,cost_ratio_to_oracle,delta_nu,dnu_valid,finite,markov_err_h10,observed_success,predicts_success,seed,teacher_mse,variant
True,0.0,1,80.91716190362143,1.0,False,True,0.0070571773550863045,False,False,2,2.3248718677662337e-06,fullM3
True,0.0,1,10.177808769965099,1.0,False,True,0.006790682537204586,False,False,3,2.7502641593041317e-06,fullM3
True,0.0,1,76.5331819347328,1.0,False,True,0.005774132014230292,False,False,4,1.044558940217064e-05,fullM3
True,0.0,2,134944.78240489107,1.0,False,True,0.016459308309225557,False,False,0,6.158046219675461e-05,fullM3
True,0.0,2,55429.81483085616,1.0,False,True,0.014212180169745202,False,False,1,1.5146435820535216e-05,fullM3
True,0.0,2,13337.38825904815,1.0,False,True,0.011068542351048715,False,False,2,6.30963056616383e-05,fullM3
True,0.0,2,50988.925893874984,1.0,False,True,0.0205204525992166,False,False,3,8.853882527948554e-05,fullM3
True,0.0,2,28013.58976993953,1.0,False,True,0.009242582178693939,False,False,4,6.199397781442335e-06,fullM3
True,0.0,3,367.718223852354,1.0,False,True,0.015757744322899763,False,False,0,7.498291945640385e-06,fullM3
True,0.0,3,2019.4665049213434,1.0,False,True,0.01705138991596404,False,False,1,3.2354165108069674e-06,fullM3
True,0.0,3,277.29232708141586,1.0,False,True,0.012998456920507048,False,False,2,8.743497524162367e-06,fullM3
True,0.0,3,35.071782995989,1.0,False,True,0.013616162774758382,False,False,3,8.116954362782625e-06,fullM3
True,0.0,3,329.89854702631567,1.0,False,True,0.013298014194818216,False,False,4,8.742279686447987e-07,fullM3
True,0.0,4,472389.19708625355,1.0,False,True,0.01304379090652934,False,False,0,8.48063986758616e-06,fullM3
True,0.0,4,94645.60408034902,1.0,False,True,0.008159948835563865,False,False,1,0.00024466238867663963,fullM3
True,0.0,4,112963.61768948998,0.9984163002120122,True,True,0.008075994862727826,False,False,2,6.56387341964084e-06,fullM3
True,0.0,4,228006.95778083784,1.0,False,True,0.007646542097365788,False,False,3,0.00014007459522533827,fullM3
True,0.0,4,29775.686475959905,1.0,False,True,0.012450179149683412,False,False,4,1.4399212361247138e-05,fullM3
True,0.0,5,1190228.2784028882,0.9895148356535736,True,True,0.01063116944396318,False,False,0,2.3933150837624324e-06,fullM3
True,0.0,5,237190.4844241108,0.9953376515535014,True,True,0.012613628764317387,False,False,1,0.0004218588114057352,fullM3
True,0.0,5,189477.04757863082,1.0,False,True,0.014512161348940355,False,False,2,2.5093283646426095e-05,fullM3
True,0.0,5,62538.302877825576,1.0,False,True,0.008646784318780397,False,False,3,4.502914489343399e-06,fullM3
True,0.0,5,290464.7081859111,1.0,False,True,0.00969595151168956,False,False,4,3.3718947920249756e-06,fullM3
True,0.0,7,578.4141304818432,1.0,False,True,0.011294894572989388,False,False,0,1.8187420700467287e-06,fullM3
True,0.0,7,68.4426452833647,1.0,False,True,0.014505862418167925,False,False,1,1.5519444989427692e-06,fullM3
True,0.0,7,1477.3429353813913,1.0,False,True,0.00896005326311326,False,False,2,1.0613815526045985e-06,fullM3
True,0.0,7,2122.164151730255,1.0,False,True,0.010474093113928568,False,False,3,7.91858374917963e-07,fullM3
True,0.0,7,249.92194327843947,1.0,False,True,0.007623978414442327,False,False,4,2.7303659695831244e-06,fullM3
