case,cond_R_BtPB,dim,rel_residual,rho_design,seed,variant
4,1.0392135265890452,1030,7.213473093675069e-15,0.9993429944399412,4,fullM3_axszeroed
5,1.0417942860136775,1030,8.615969084577203e-15,0.9994212046401665,0,fullM3_axszeroed
5,1.0161224216751386,1030,9.349172264255135e-15,0.9993195199164527,1,fullM3_axszeroed
5,1.0413982008540639,1030,6.25501260604108e-15,0.9994624055149586,2,fullM3_axszeroed
5,1.042930872022581,1030,9.612289199067782e-15,0.9993315114743302,3,fullM3_axszeroed
5,1.0848557376598142,1030,9.267950623705236e-15,0.9992164851313794,4,fullM3_axszeroed
7,1.0258954347084872,1030,8.401829376874124e-15,0.9997193460289823,0,fullM3_axszeroed
7,1.2435334660500852,1030,1.1933383915202865e-14,0.9994049750421531,1,fullM3_axszeroed
7,1.021693806440309,1030,1.1142466292063603e-14,0.9990033906973791,2,fullM3_axszeroed
7,1.4032979597992705,1030,1.4162673127112704e-13,0.9991333291506289,3,fullM3_axszeroed
7,1.0226056518071291,1030,7.579856094985233e-15,0.9991209935390172,4,fullM3_axszeroed
1,1.1880138517692702,1030,2.714832099940608e-09,0.9997582689693904,0,M3_b320
1,1.075870416253103,1030,3.351490002027394e-10,0.9996813444271351,1,M3_b320
1,1.082944765285412,1030,5.480406454897947e-10,0.9997421121352662,2,M3_b320
1,1.1282024271520301,1030,3.022693440993329e-08,0.9998944306586127,3,M3_b320
1,1.1485338498252202,1030,4.021365110457376e-10,0.9998092214580789,4,M3_b320
2,1.2773906224206553,1030,6.095701680197344e-07,0.9993839269017548,0,M3_b320
2,1.126908548458337,1030,8.26597260028889e-09,0.9998887401207773,1,M3_b320
2,1.0658564808413933,1030,1.96746783114432e-09,0.9997715339214409,2,M3_b320
2,1.1148744031888096,1030,2.982886145769585e-08,0.9997429353762178,3,M3_b320
2,1.162580611015148,1030,9.679527045849929e-08,0.9998999048777572,4,M3_b320
3,1.2110780249218136,1030,1.921425621862767e-09,0.9999129102372976,0,M3_b320
3,1.1461812459027174,1030,7.390386656384937e-09,0.9998088274729181,1,M3_b320
3,1.127569420809899,1030,9.938741650592917e-10,0.9993077286815849,2,M3_b320
3,1.0826773175979474,1030,2.72154399266337e-09,0.9999619416282001,3,M3_b320
3,1.0937545462439036,1030,5.4859429450549814e-09,0.9996868876861915,4,M3_b320
4,1.0674001394492052,1030,8.185227728146382e-09,0.9999044708941148,0,M3_b320
4,1.067341172817067,1030,1.5768755791010205e-09,0.9997425217425667,1,M3_b320
4,1.1396852799403647,1030,9.614495782785e-09,0.9999375113617044,2,M3_b320
4,1.114840719810537,1030,4.2509938138727445e-09,0.999889865378697,3,M3_b320
4,1.0813246037507784,1030,2.958932271027757e-10,0.9998985041435932,4,M3_b320
5,1.1044268287511407,1030,3.810186847303009e-08,0.9999739965495557,0,M3_b320
