cap,case,cost,cost_ratio_to_oracle,finite,seed,variant
50,4,5228092.480933013,103505.72430982713,True,4,M6
50,5,192680424.43975717,560734.2049896478,True,0,M6
50,5,490078668.0155747,1426215.8342816923,True,1,M6
50,5,267078389.16045988,777245.4760324119,True,2,M6
50,5,86246323.16167869,250992.09528918503,True,3,M6
50,5,156481851.1138631,455389.9371706774,True,4,M6
50,7,18696.742413612148,648.5706900770411,True,0,M6
50,7,18334.400497227874,636.0014231130757,True,1,M6
50,7,11786.156932554111,408.8496148686095,True,2,M6
50,7,18829.31274729706,653.169418074661,True,3,M6
50,7,5286.685748219866,183.38967014099148,True,4,M6
100,1,2477.7557674447976,133.90813411780985,True,0,M6
100,1,688.5943733967731,37.21447808420394,True,1,M6
100,1,52.188301715181005,2.8204709266660526,True,2,M6
100,1,69.88881264928051,3.777079492877356,True,3,M6
100,1,1062.848475474386,57.44071230535626,True,4,M6
100,2,24540190.52184296,33193.48952429568,True,0,M6
100,2,50964534.14896483,68935.51738640813,True,1,M6
100,2,36229881.0950112,49005.168787231465,True,2,M6
100,2,34756721.33001187,47012.54720658015,True,3,M6
100,2,18915590.188054707,25585.557055647132,True,4,M6
100,3,8140.680872535548,129.00923584306668,True,0,M6
100,3,43773.470528215104,693.6989757326188,True,1,M6
100,3,111882.83198356873,1773.0603722416577,True,2,M6
100,3,102150.50667983653,1618.8275912163565,True,3,M6
100,3,71820.46867029923,1138.1730749703645,True,4,M6
100,4,31192996.88419809,617558.6502473103,True,0,M6
100,4,11625365.770091508,230158.87893881544,True,1,M6
100,4,6996148.378493548,138509.67784827057,True,2,M6
100,4,5052991.604890139,100039.07886156822,True,3,M6
100,4,12580686.669483278,249072.3128538586,True,4,M6
100,5,90921766.75484432,264598.46528660716,True,0,M6
100,5,319836171.04581827,930779.9773628936,True,1,M6
100,5,209895601.66140148,610833.423637325,True,2,M6
100,5,30658679.047622956,89222.19302655019,True,3,M6
100,5,35912552.88975372,104511.8976270515,True,4,M6
100,7,26827.281407715545,930.6106930598476,True,0,M6
100,7,29057.590437817034,1007.9778105361436,True,1,M6
100,7,16172.70575843335,561.0144645584593,True,2,M6
100,7,17146.149686969213,594.7822293655606,True,3,M6
100,7,7121.712527379739,247.04485445818491,True,4,M6
200,1,2031.72909747752,109.80301450640773,True,0,M6
200,1,440.3788219273935,23.799886624867003,True,1,M6
200,1,96.6198454130133,5.2217346794234,True,2,M6
200,1,230.83323536289606,12.4751794530981,True,3,M6
200,1,335.6949528895686,18.142338871665935,True,4,M6
200,2,27779483.1485092,37575.013203733644,True,0,M6
200,2,46447157.99777793,62825.2356500761,True,1,M6
200,2,58530767.52593734,79169.73655896784,True,2,M6
200,2,8476115.377771184,11464.941429380551,True,3,M6
200,2,12797897.140735386,17310.65878628357,True,4,M6
200,3,17346.37650549394,274.89626637616686,True,0,M6
200,3,38921.7894407941,616.8120814491075,True,1,M6
200,3,103248.6421086684,1636.230264867863,True,2,M6
200,3,247970.99122193753,3929.714060738752,True,3,M6
200,3,121625.61827617069,1927.4589335255616,True,4,M6
200,4,28805969.280905742,570300.3008727728,True,0,M6
200,4,22281740.90356854,441133.69063742727,True,1,M6
200,4,5162535.155769155,102207.82102107562,True,2,M6
200,4,16620680.671181945,329056.0749770856,True,3,M6
200,4,7209313.697872529,142729.92277709008,True,4,M6
200,5,262125310.96234217,762831.1400989688,True,0,M6
200,5,62879909.602873914,182991.6880425617,True,1,M6
200,5,295928312.6062642,861203.8694936697,True,2,M6
200,5,886053545.3615793,2578572.9493860677,True,3,M6
200,5,306158935.1598717,890976.7954192086,True,4,M6
200,7,22487.996079109977,780.0853652912026,True,0,M6
200,7,70030.68313094143,2429.2920916390976,True,1,M6
200,7,25543.246800938505,886.0688583071861,True,2,M6
200,7,12377.917947093194,429.3771934740075,True,3,M6
200,7,7028.313571334093,243.80494110670728,True,4,M6
